epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.318,1.08727,2.39544,1.4703,0.77831,0.35627,0.43979,0.28653,1.23648,3.5288,1.87848,0.000541044,0.000541044,0.000541044
2,554.864,1.0955,1.6913,1.42992,0.8699,0.04198,0.25688,0.12736,1.61204,3.74042,1.99895,0.00106052,0.00106052,0.00106052
3,881.601,1.14254,1.55782,1.45887,0.63524,0.62663,0.61769,0.361,1.3788,2.61511,1.76699,0.00154332,0.00154332,0.00154332
4,1233.48,1.12386,1.46692,1.47232,0.7178,0.4395,0.52615,0.2905,1.50575,2.58475,1.94844,0.00150197,0.00150197,0.00150197
5,1694.29,1.10792,1.34957,1.44259,0.71597,0.64504,0.73252,0.44644,1.34992,1.7992,1.88288,0.00144696,0.00144696,0.00144696
6,2134.06,1.09263,1.23434,1.43341,0.74591,0.69867,0.73647,0.5063,1.26959,1.66904,1.73796,0.00139195,0.00139195,0.00139195
7,2575.93,1.08319,1.15278,1.42042,0.82631,0.82784,0.88563,0.63567,1.09654,1.3527,1.52323,0.00133693,0.00133693,0.00133693
8,3060.87,1.00902,1.0933,1.36951,0.78236,0.75431,0.8173,0.58383,1.15884,1.36598,1.62255,0.00128192,0.00128192,0.00128192
9,3534.23,1.07406,1.04183,1.40706,0.91062,0.81051,0.90166,0.63412,1.19682,1.14238,1.57675,0.00122691,0.00122691,0.00122691
10,3935.45,1.04208,1.03488,1.37904,0.94345,0.84044,0.92866,0.65962,1.11524,0.95857,1.57876,0.0011719,0.0011719,0.0011719
11,4330.8,1.03435,0.99174,1.35636,0.89618,0.84682,0.90564,0.66413,1.10365,0.92668,1.4918,0.00111689,0.00111689,0.00111689
12,4694.24,1.00389,0.95835,1.32565,0.78903,0.8177,0.89552,0.63289,1.12879,1.11343,1.56329,0.00106188,0.00106188,0.00106188
13,5024.97,0.96044,0.92503,1.33792,0.91023,0.86162,0.917,0.68043,1.03582,0.98208,1.41038,0.00100687,0.00100687,0.00100687
